author,citations,description,title,url
SS Sedgwick,,"… A comprehensive defense of Kant's ethics in the face of … of its command, Kant's categorical 
imperative neither requires that we … Second, that the categorical imperative is not just a formal …",Hegel's critique of the subjective idealism of Kant's Ethics,https://muse.jhu.edu/pub/1/article/226646/summary
PC Ejeh,,"… of Kant's categorical imperative as we … Kant's categorical imperative so as to conscientize 
the contemporary society of the need to always apply the principle of the categorical imperative …",Human Dignity and Rights: Echoes From Kant's Categorical Imperative,https://www.acjol.org/index.php/njps/article/view/3345
KB Pflaum,,"… formulations of the Categorical Imperative (which finding … of Kant's view), it ignores the 
specific assertion in the Critique of Practical Reason that the purely formal categorical imperative …",The Concept of the Categorical Imperative,https://www.pdcnet.org/philstudies/content/philstudies_1969_18_0_0241_0243
"F Heubel, A Manzeschke",,"… on elements of Kantian moral philosophy. Allegedly, the categorical imperative is inserted as 
… Arguments Scrutiny of the companies’ statements reveals that the categorical imperative is …",Kant's categorical imperative–a tool for hospital management and marketing?,https://link.springer.com/article/10.1007/s00481-008-0548-4
JJ Kupperman,,"… Kant’s categorical imperative can be regarded under that heading, although strictly speaking 
the categorical imperative … courses of action, the categorical imperative can be used as a …","14 Virtues, Character, and Moral Dispositions",https://books.google.com/books?hl=en&lr=&id=lclwmnBDC7wC&oi=fnd&pg=PT203&dq=kant+categorical+imperative+&ots=FAvi1u5EJ8&sig=xOEj8ampmgggu7veEZB--D5oFg0
MF Urich,,"… As an educated man, Adler almost certainly was familiar with Kant's ideas about the categorical 
imperative. Yet, there is no mention by Adler of Kant's ideas as being in any way related …",Social Interest and the Categorical Imperative,https://search.proquest.com/openview/9283c5f00fd6c4ed3731f8517c322874/1?pq-origsite=gscholar&cbl=1816606
J Ransom,,"In Reply.— I do not say it was not Kant, only that it was Sartre: ""Tout se passe comme si, pour 
tout homme, toute l'humanite avait les yeux fixes sur ce qu'il fait et se reglait sur ce qu'il fait.…","Kant, Sartre, and the Categorical Imperative-Reply",https://jamanetwork.com/journals/jama/article-abstract/369671
ME Harris - 2014 - kritike.org,,"… Keywords: Vattimo, Kant, hermeneutics, secularisation Kant’s Categorical Imperative in the 
light of Vattimo’s hermeneutical nihilism mmanuel Kant’s Categorical Imperative is arguably …",A Postmodern Categorical Imperative?,http://www.kritike.org/journal/issue_15/harris_december2014.pdf
SS Sedgwick,,"… My central concern in this paper, then, is to reconsider the formalism of the categorical 
imperative in light of the aims unique to the Critical Philosophy, and to suggest the implications …",On the Relation of Pure reason to Content: A reply to Hegel's Critique of Formalism in Kant's Ethics,https://www.jstor.org/stable/2107992
HF Klemme,,"… desiring for Kant from the perspective of the categorical imperative. According to Kant, which 
characteristics and capacities must we prescribe to subjects if the categorical imperative is …","Knowing, Feeling, Desiring–Self-Possession. Reflections on the Connection between the Faculties in Kant's Doctrine of the Categorical Imperative",https://books.google.com/books?hl=en&lr=&id=hII_CgAAQBAJ&oi=fnd&pg=PA143&dq=kant+categorical+imperative+&ots=UqAQzSozbh&sig=MU8qboxjQRTSWSAZCD_d3pSyvP0
TE Hill Jr - 2002 - books.google.com,,"… Kant thought that analysis of the ordinary idea of duty showed that we regard duties as 
categorical imperatives… Kant’s claim that we are under categorical imperatives is addressed to the …",Human welfare and moral worth: Kantian perspectives,https://books.google.com/books?hl=en&lr=&id=TAy5fAMqV3IC&oi=fnd&pg=PR10&dq=kant+categorical+imperative+&ots=ZhmEiA9Til&sig=7Pi9W3QEQqt8A8dT1fqfyv473DU
J Mariña,,"… Kant’s derivation of the categorical imperative is key to Kant’s project: only if we understand 
Kant’s … the ground common to Kant’s three main formulas of the categorical imperative. …",It's All About Power: The Deep Structure of Kant's Categorical Imperative and Its Three Formulations,https://link.springer.com/chapter/10.1007/978-3-030-54050-0_4
HE Allison,,"… The problem here is that while in the Groundwork Kant at least seems to have attempted 
a transcendental deduction of the moral law and/or the categorical imperative on the basis of …",Morality and freedom: Kant's reciprocity thesis,https://www.jstor.org/stable/2185466
JJ Ibañez Helguero,,"… Kant proposes from his ethics the"" good will"" in this case the duty of a judge, reason and act 
with the categorical imperative for impartiality (formalized in the legal system) and therefore …",The judge and his fair work towards positive law; a perspective from the kantian categorical imperative,http://www.scielo.org.bo/scielo.php?pid=S2413-28102021000200003&script=sci_abstract&tlng=en
T Sutherland,,"… The Kantian model of ethics is premised upon the apodictic … This law, the categorical 
imperative, is posited by Kant as … and action: namely, a categorical imperative of speed, which …",The categorical imperative of speed: acceleration as moral duty,https://link.springer.com/chapter/10.1007/978-3-030-24950-2_2
"MT Walker, MT Walker",,"… which result from applying the Categorical Imperative to the contingent circumstances of … 
approximating to Kant’s Categorical Imperative (not any specific categorical imperatives that …",Recovering the Categorical Imperative,https://link.springer.com/chapter/10.1057/9780230356955_10
PJ Kain,,"… with the categorical imperative, we must do the act for the sake of the categorical imperative 
or… If we simply refrain from stealing, we do act in accordance with the categorical imperative—…",Kant's polítical theory and philosophy of history,https://scholarcommons.scu.edu/phi/38/
A Campbell Garnett,,"… This reconsideration of Kant’s categorical imperative has … the embarrassing rigorism with 
which Kant interpreted it and can … negative use of the categorical imperative to show that certain …",A New Look at the Categorical Imperative,https://www.pdcnet.org/wcp13/content/wcp13_1964_0007_0229_0236
D Cummiskey,,"… Kantian conclusions. This article considers this perhaps more fruitful formulation of Kant's 
categorical imperative … development of Kant's normative theory, not just the formulations of the …",Kantian consequentialism,https://www.journals.uchicago.edu/doi/pdf/10.1086/293212
O O'neill - 1989 - books.google.com,,"… calls ""the supreme principle of practical reason"" - the Categorical Imperative - … Categorical 
Imperative is central to Kant's thinking, we must question not only attempts to place “Kantian” …",Constructions of reason: Explorations of Kant's practical philosophy,https://books.google.com/books?hl=en&lr=&id=OBEt2Utjn5kC&oi=fnd&pg=PR9&dq=kant+categorical+imperative+&ots=k9i3hkUOUb&sig=7eJg2WvNdnS6H6AdVAqH6tmusc8
TW Pogge,,"… categorical imperative, that we should train o in accordance with reason [the categorical 
imperative… human bein him, however, is a hypothetical imperative of the pragmatic o variety (cf. …",The Kantian interpretation of justice as fairness,https://www.jstor.org/stable/20483099
R Scruton - 2001 - books.google.com,,"… ﬁrst, Kant attempted to establish the scope and limits of all objective knowledge. In the second, 
he outlined the principles of the’categorical imperative’, … Very soon after his death, Kant's …","German Philosophers: Kant, Hegel, Schopenhauer, Nietzsche",https://books.google.com/books?hl=en&lr=&id=uzVPdMGIKwQC&oi=fnd&pg=PP2&dq=kant+categorical+imperative+&ots=sLwhqDjgvQ&sig=3vskt5IyW7QiLlEfAXHtzC7EeNE
MH McCarthy,,"… ,2 the categorical imperative is a synthetic practical proposition.As one of Kant's main aims in 
… of its solution by contrasting the categorical imperative, which is synthetic, with hypothetical …",Kant's application of the Analytic/Synthetic distinction to Imperatives,https://www.cambridge.org/core/journals/dialogue-canadian-philosophical-review-revue-canadienne-de-philosophie/article/kants-application-of-the-analyticsynthetic-distinction-to-imperatives/15EB34103BA289156624A372F0CD25D1
M Wood,,"… philosopher Immanuel Kant (1724–1804) had a lot to say. As we’ll see, Kant’s notion of duty 
and his famous categorical imperative shed new light … Kant and the Categorical Imperative …",Raiders of the Lost Kant: Indy Meets the Categorical Imperative,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119740186.ch4
M Rothe,,"… the categorical imperative is central to Kant’s moral philosophy; the categorical imperative is 
… In the Groundwork, he claims, “There is ... only a single categorical imperative” (GMS 4:421)…",Problems in the Formulations of Kant's Categorical Imperative,https://digitalworks.union.edu/cgi/viewcontent.cgi?article=1064&context=ephemeris
G Duindam,,"… its purest expression in Kant’s first formula—the Formula of Universal Law (“FUL”). First, I 
explain Kant’s puzzling remarks about the relationship among the Categorical Imperative’s …",On the Singularity of the Categorical Imperative,https://www.pdcnet.org/swphilreview/content/swphilreview_2023_0039_0001_0165_0173
O O'Neill,,"… to the Categorical Imperative Despite the fact that critique of reason is evidently Kant’s … 
, and the frequently asserted status of the categorical imperative as a principle of reason—the …",Kant and the social contract tradition,https://books.google.com/books?hl=en&lr=&id=h8Ill0XjqVcC&oi=fnd&pg=PA25&dq=kant+categorical+imperative+&ots=W3UYM5IQWd&sig=pXiUThm-IVuRcZFAOqfKDYnlD7I
SA Bowen,,"… 203) in Kant’s view. The second formulation of the categorical imperative is important to 
this theory because it is a powerful guide in ethical decision making for the public relations …",Expansion of ethics as the tenth generic principle of public relations excellence: A Kantian theory and model for managing ethical issues,https://www.tandfonline.com/doi/abs/10.1207/s1532754xjprr1601_3
B Jovan,,"… placed by the categorical imperative. Furthermore, it will … categorical imperative, due to its 
precious property Kant labels as ""formalism."" In Kant's elaboration of the categorical imperative…",THE GOLDEN RULE AND THE CATEGORICAL IMPERATIVE,https://cyberleninka.ru/article/n/the-golden-rule-and-the-categorical-imperative
S Stapleford,,"… are increased by the fact that Kant formulates the categorical imperative in (at least) three … 
appealing to the third formulation of the categorical imperative, the formula of humanity as an …",On the contradiction in conception test of the categorical imperative,https://www.tandfonline.com/doi/abs/10.4314/sajpem.v26i3.31482
KM Thiel,,"… Kant is now able to couch the categorical imperative:“[W] hen I think of a categorical imperative 
I know at once what it contains. For, since the imperative contains, beyond the law, only …",Kant's categorical imperative and the moral worth of increasing profits,http://ndl.ethernet.edu.et/bitstream/123456789/15567/1/296.Christoph%20Luetge.pdf#page=366
F Moledo,,"… an interpretation as to why Kant rejects the possibility of giving a deduction of the categorical 
imperative in the Critique of Practical Reason. I focus then on Kant’s factum theory and …",The Fact of Pure Reason: The Foundation of the Categorical Imperative in Kant's Critique of Practical Reason,https://www.torrossa.com/gs/resourceProxy?an=4425644&publisher=F34885
J Ching,,"… If this is the intended meaning of Kant's categorical imperative, then Kantian ethics bears a … 
good, has sometimes been compared to Kant's categorical imperative, or the moral law which …",Chinese ethics and Kant,https://www.jstor.org/stable/1397740
K Immanuel,,"… a hypothetical and a categorical imperative? Why are imperatives that command the virtues 
… Kant gives three formulations of the Categorical Imperative. According to the first one, we are …",Foundations of the Metaphysics of Morals,https://people.stfx.ca/cbyrne/Byrne/Kant%20Study%20Questions.pdf
J Timmermann - 2013 - books.google.com,,"… Without getting into the details, it appears to me that we must say that Kant’s categorical 
imperative is not so much concerned with the evaluation of particular acts, but rather with the …",Kant's' Groundwork of the Metaphysics of Morals': A Critical Guide,https://books.google.com/books?hl=en&lr=&id=MkwhAwAAQBAJ&oi=fnd&pg=PR7&dq=kant+categorical+imperative+&ots=VgokZUx7nX&sig=f0_MuNpmZ5U6bFi41D4_VlSJhbs
FR Scarano,,"… of man on Earth is the very categorical imperative, this creates categorical responsibility. … 
formulations all eventually coming close to Kant’s categorical imperative. A huge meeting, the “…",Emergence and sustainment of humankind on earth: the categorical imperative,https://link.springer.com/chapter/10.1007/978-3-030-06128-9_11
T Auxter,,"… Instead, ""procedural formalism"" is the dominant factor in moral decisions, and the formulations 
of the categorical imperative guide our moral activity. This, of course, strengthens Silber's …",The Unimportance of Kant's Highest Good,https://muse.jhu.edu/pub/1/article/227421/summary
N Rescher,,"… universality of moral principles is rooted in the Categorical Imperative fundamental to Kantian 
morality (Chapter 8). For the universality of the Categorical Imperative is absolute; what is …",Kant and the reach of reason: studies in Kant's theory of rational systematization,https://books.google.com/books?hl=en&lr=&id=B-Cu-i3h6JAC&oi=fnd&pg=PR7&dq=kant+categorical+imperative+&ots=6yoqBBcljm&sig=nqeETzWSfmpjBLugF2wtT2DzDrA
O Sensen,,"… The supreme principle, Kant’s Categorical Imperative, runs: “… , is that Kant himself says that 
the Categorical Imperative by … that Kant explicitly says that the formal Categorical Imperative …",Categorical Imperative and Human Nature,https://link.springer.com/chapter/10.1007/978-3-030-54050-0_5
G ASUQUO,,"… Kant for this discourse on abortion. The aim of this chapter to employ Kantian categorical 
imperatives … be analyzing Immanuel Kant's categorical imperative in relations to this questions. …",IMMANUEL KANT'S CATEGORICAL IMPERATIVE AND THE QUESTION OF ABORTION IN NIGERIA,https://acjol.org/index.php/jassd/article/view/3115
PL Plaisance,,"… , rooted in the principle of human dignity of Immanuel Kant, and suggests that it has been … 
of his categorical imperative. This study suggests that the concept's Kantian roots raise a …",Transparency: An assessment of the Kantian roots of a key element in media ethics practice,https://www.tandfonline.com/doi/abs/10.1080/08900520701315855
NE Bowie - 2017 - books.google.com,,"… categorical imperative to work for the rules of any institution or practice. Indeed, the test of the 
categorical imperative … can use Kant’s first formulation of the categorical imperative to show …",Business ethics: A Kantian perspective,https://books.google.com/books?hl=en&lr=&id=b4EHDgAAQBAJ&oi=fnd&pg=PR9&dq=kant+categorical+imperative+&ots=hbgjuohnhg&sig=z6ngVCaFi5yDJvaH0V5NK3ayILY
A Moore,,"… Now I think that in both of these realizations Kant is correct. When I seek moral justification, 
moral authority-when, that is, I seek for a normative moral principle -I am not simply inquiring …",A Categorical Imperative?,https://www.journals.uchicago.edu/doi/pdf/10.1086/290895
FR Hiller,,"… : Kant intends to legitimate the practical use of the concepts of freedom, moral law, and the 
categorical imperative … that will cause Kant a great deal of trouble, as I will explain in section 3. …",The Deductions of Freedom/Morality-as-Autonomy and the Categorical Imperative in Groundwork III and Their Problems,https://www.scielo.org.mx/scielo.php?pid=S0188-66492016000100004&script=sci_arttext&tlng=en
DV Chaly,,"… John Rawls’s interpretation of Kant’s categorical imperative is reviewed, some significant … 
, which limit the possibilities of application of Kantian ethics within Rawls’ liberal egalitarianism. …","John Rawls' interpretation of categorical imperative in"" Theory of Justice"".",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=02076918&AN=89441157&h=Ii3wwiifaPhCrxTHH5F7YY1zGTtoXR1EvVAD2kkS0wghI%2FlNB%2BreJ31g7kVk7dOqtlPXtvSTEaLnxyykQ5yR8g%3D%3D&crl=f
MJ Gregor - 1963 - philpapers.org,,"… Gregor, Laws of Freedom: A Study of Kant's Method of Applying the Categorical 
Imperative in the Metaphysik Der Sitten - PhilPapers … Laws of Freedom: A Study of Kant's …",Laws of freedom: a study of Kant's method of applying the categorical imperative in the Metaphysik der Sitten,https://philpapers.org/rec/GRELOF-3
MO Aderibigbe,,"… Given the views of these schools of thought, this paper is to defend the sanctity of human 
life by using Immanuel Kant Categorical Imperative, which centers on goodwill that is, good …",Kant's Categorical Imperative and the Dilemma of Suicide in the Society,http://ijptnet.com/journals/ijpt/Vol_3_No_1_June_2015/21.pdf
M Tillman,,"… In each of the three major formulations of the categorical imperative, we have found that this 
… not only why Kant believes the three major Formulae to be binding duties, but also why Kant …",Duty Derives from Telos: The Teleology behind Kant's Categorical Imperative,https://micahtillman.com/wp-content/uploads/2010/06/Tillman-KantTelosDuty.pdf
B Stelmach,,"… But let's get on with helping you understand Kant's categorical imperative. Why don't you 
explain the theory to me. Sophy: Okay, I'Il try. … Kant says it is not personal inclination …",A Dialogue Between Generations for the 'Soul'Purpose of Understanding Immanuel Kant's Categorical Imperative,https://www.pdcnet.org/cogito/content/cogito_1996_0010_0002_0142_0151
A Bordum,,"… In this article I first argue that Immanuel Kant’s conception of the categorical imperative is … 
the Kantian ethics, taking as my point of departure, the concept of the categorical imperative…",The Categorical Imperative Analyzing Immanuel Kant's Grounding for A Metaphysics of Morals,https://ideas.repec.org/p/hhb/cbslpf/2002_004.html
K Kolenda,,"… categorical imperative1 Professor Ebbingh cusses a number of misinterpretations of Kant's 
… be taken seriously since it was Kant's intention to use the categorical imperative as a test for …",Professor Ebbinghaus' Interpretation of the Categorical Imperative,https://www.jstor.org/stable/2217048
I ,,"… In Fundamental Principles of the Metaphysics of Morals, this injunction becomes what Kant 
… of morality,"" the categorical imperative. Although there is but one categorical imperative, Kant …",Kant's Foundations of Ethics,https://books.google.com/books?hl=en&lr=&id=bsSAdDJn_rMC&oi=fnd&pg=PP7&dq=kant+categorical+imperative+&ots=ThJcrxViTA&sig=tY7MtepYvKb-wzkqqvTEyrJ4eWA
C Bagnoli,,"… the practical function of the categorical imperative as the form of … the Categorical Imperative 
(CI), aiming to uncover Kant's general view of rational agency. In Section 2, I illustrate Kant's …",The Practical Significance of Kant's Categorical Imperative,https://books.google.com/books?hl=en&lr=&id=ZXJIEAAAQBAJ&oi=fnd&pg=PA177&dq=kant+categorical+imperative+&ots=p4sX0E8qpk&sig=L9BVIj0Q_tc2u9MUSolb5UyOt7Y
J Beckenkamp,,"… and Ethics , so that Kant’s Doctrine of Law could be seen as a mere application of the 
categorical imperative. This paper aims to show that in his Doctrine of Law Kant follows a chain of …",Sobre a moralidade do direito em Kant,https://philpapers.org/rec/BECSAM
P Guyer - 2000 - books.google.com,,"… of the Categorical Imperative,"" where I present a fuller account of the relations among the 
various formulations of Kant's famous ""categorical imperative,… of the categorical imperative, that …","Kant on freedom, law, and happiness",https://books.google.com/books?hl=en&lr=&id=ne6Wj0FuX34C&oi=fnd&pg=PR7&dq=kant+categorical+imperative+&ots=LUi61We203&sig=fCZ53y57kXYyU8o4euIaQV4N-k8
M Connolly,,"… Kant fold task ; first, to show that practical reason formul gorical imperative and therefore 
a … Specifically, at this point Kant various formulations of the categorical imperative, wi 'gaining …",The categorical imperative,https://www.jstor.org/stable/30103532
KR Davis,,"… We shall see that the principle of publicity is a version of the categorical imperative, one 
which does not commit Kant to any of the well known programmes advanced by classical liberal …","Kantian"" publicity"" and political justice",https://www.jstor.org/stable/27743995
MO Chibundu,,"… and faithful rendition of Kant's own views, it is worth reminding ourselves that there is an 
even better known Kantian proposition, the socalled ""categorical imperative."" Paraphrased, in …","Intervention, Imperialism and Kant's Categorical Imperative",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/intlt7&section=6
G Succi,,"… While I have not seen a better ethical approach than the Kantian categorical imperative, 
such an approach should not be blindly applied to software development. Lean production, and …",Agile methods: between categorical imperatives and lean production,https://www.researchgate.net/profile/Giancarlo-Succi/publication/342742392_Agile_methods_between_categorical_imperatives_and_lean_production/links/5f046a2fa6fdcc4ca45302d4/Agile-methods-between-categorical-imperatives-and-lean-production.pdf
"RF Chadwick, C Cazeaux - 1992 - books.google.com",,"… Kant understands the moral law, the categorical imperative, and the procedure by which that 
imperative … rendering of Kant's conception of the categorical imperative.¹ I assume that this …",Immanuel Kant: critical assessments,https://books.google.com/books?hl=en&lr=&id=4lXS9yNTomEC&oi=fnd&pg=PP11&dq=kant+categorical+imperative+&ots=cwwR8GwjpV&sig=Zg9fWB8nlGNQ__gnP9gezpWdiiI
RN Johnson,,"… Again, the humanity formulation of the Categorical Imperative, the formulation that tells us 
we must respect the humanity in ourselves and others by treating it as an end in itself, appears …",Value and autonomy in Kantian ethics,https://books.google.com/books?hl=en&lr=&id=RiaQDwAAQBAJ&oi=fnd&pg=PA133&dq=kant+categorical+imperative+&ots=4agvTvoI-E&sig=x3dQXzoCh2N3f-_0Fww_39MhGWY
AW Wood,,"… , Kant presents four examples or illustrations of the application of his first formulation of the 
categorical imperative. I … and a defense of Kant's argument in connection with this example. …",Kant on false promises,https://link.springer.com/chapter/10.1007/978-94-010-3099-1_64
MC Altman,,"… We can see why this is by examining Kant’s account of the categorical imperative. Kant 
famously begins the Groundwork by claiming that the only good without qualification is a good …",The decomposition of the corporate body: What Kant cannot contribute to business ethics,https://link.springer.com/article/10.1007/s10551-006-9233-z
"O O'Neill, JE White",,"… To understand why Kant thinks that these picturesquely … of Kant’s philosophy. I shall avoid 
this and concentrate on showing the implications of this version of the Categorical Imperative. …",A simplified account of Kant's ethics,https://books.google.com/books?hl=en&lr=&id=GzArDwAAQBAJ&oi=fnd&pg=PA16&dq=kant+categorical+imperative+&ots=LcGxPyrTyg&sig=7T40J2kofJow3y-zAfPY_m2t1Vw
TE Hill,,"… is an important ambiguity in Kant's use of the term ""Categorical Imperative"" but that, despite 
… other defects in Kant's exposition, what Kant has to say about the Categorical Imperative is …",The concept of the categorical imperative,https://muse.jhu.edu/pub/1/article/229376/summary
L Lawlor,,"… We shall connect it to Kant's categorical imperative. But first, we must understand grounding 
… unconditional and categorical. Only unconditional and categorical imperatives maintain the …",The Categorical Imperative and Not Being Unworthy of the Event: Ethics in Deleuze's Difference and Repetition,https://www.euppublishing.com/doi/abs/10.3366/dlgs.2020.0393
D Von der Pfordten,,"… The contribution starts with the observation that Kant … to the second formula of the categorical 
imperative, the formula of self-… So Kant changed his understanding of human dignity from …",On the dignity of man in Kant,https://www.cambridge.org/core/journals/philosophy/article/on-the-dignity-of-man-in-kant/56FAF3CFE8F3FF721E004B65F5B2A33E
R Stuhlmann-Laeisz,,"… In the following I intend to construct a practical example for the categorical imperative, which 
is … In this fashion, the categorical imperative actually makes the differentiation possible …",Obligation and Prohibition: The Only Possible Outcomes of a Moral Decision Following Kant's Categorical Imperative,https://www.pdcnet.org/kant1995/content/kant1995_1995_0002_0002_0605_0611
J Halberstam,,"… , Kant's duties are intricately connecte human concerns. Indeed, one aspect or formulati 
categorical imperative … If so, the categorical imperative does not appl not members of standing in …",From Kant to auschwitz,https://www.jstor.org/stable/23558995
NE Bowie,,"… as the categorical imperative. He … the categorical imperative, thus the categorical imperatives 
of morality were requirements of reason. Although Kant spoke of ""the"" categorical imperative…",A Kantian approach to business ethics,https://www.academia.edu/download/39643769/Kantian_Approach_to_Business_Ethics.pdf
D Thriyana,,"… dengan konsep categorical impera ve dari Immanuel Kant. Kant menyebut categorical impera 
ve … Menurut Huijbers, prinsip-prinsip ini dirumuskan oleh Kant sebagai ndakan yang harus …",Categorical Imperative Immanuel Kant sebagai Landasan Filosofis Pelaksanaan Putusan Arbitrase,http://journal.unpad.ac.id/pjih/article/view/9335
"J McDowell, IG McFetridge",,"… to a categorical imperative as … imperatives are categorical and moral imperatives hypothetical.) 
The answer depends on which of Kant's characterizations of hypothetical imperatives we …",Are moral requirements hypothetical imperatives?,https://www.jstor.org/stable/4106788
J Habermas,,"… formalism of Kantian ethics: Since the moral principle of the categorical imperative requires 
… abstract universalism of Kantian ethics: Since the categorical imperative enjoins separating …",Morality and ethical life: Does Hegel's critique of Kant apply to discourse ethics,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/illlr83&section=10
J Marshall,,"… the first two sections of Kant’s Grundlegung, and, second, to interpret Kant’s claim that the 
categorical imperative is synthetic and practical. The treat ment of Kant’s arguments is cursory …",The Syntheticity of the Categorical Imperative,https://www.pdcnet.org/kant1985/content/kant1985_1989_0002_0002_0185_0200
G Seel,,"… of Morals by Kant can be justified by the Categorical Imperative. On the one hand we have 
those who think that Kant’s theory of right depends from the Categorical Imperative, on the …",How does Kant justify the universal objective validity of the law of right?,https://www.tandfonline.com/doi/abs/10.1080/09672550802610974
M Kroy - 1976 - degruyter.com,,"… Since all moral maxims are for Kant based on the categorical imperative, we can thus 
simplify and generalize a little and say that for us the 'Kingdom of EndY is the world such äs it …",A Partial Formalization of Kant's Categorical Imperative. An Application of Deontic Logic to Classical Moral Philosophy,https://www.degruyter.com/document/doi/10.1515/kant.1976.67.1-4.192/html
A Reath,,"… in the Groundwork, but in this work Kant offers several different formulations of the principle 
that, while they employ very different concepts, he argues are getting at the same basic idea …",Categorical Imperative,https://www.researchgate.net/profile/Andrews-Reath/publication/319359155_Categorical_Imperative/links/631db81b071ea12e3626f606/Categorical-Imperative.pdf
"BS Byrd, J Hruschka",,"… Thus, the categorical imperative brings us right back to where we were with the will theorists.… 
Kant answers this question and why he insists that any proof of the Categorical Imperative …",Kant on Why Must I Keep My Promise,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/chknt81&section=10
RJ Sullivan,,"… Categorical Imperative is commonly criticized as being neither as powerful nor as easy to 
use as Kant … — if we follow Kant’s own procedure and use the Categori cal Imperative to test …",The Categorical Imperative and the Natural Law,https://www.pdcnet.org/kant1985/content/kant1985_1989_0002_0002_0219_0228
DC De Bolt,,"… The basic thesis ofthis paper is that Kant' s practical theory provides a moral justification for 
… I argue in this paper that Kant's moral theory does provide a way in which some of these …",Kant and Clint: Dirty Harry meets the Categorical Imperative,https://www.pdcnet.org/swphilreview/content/swphilreview_1997_0013_0001_0021_0028
AT Nuyen,,"… basic formula of the Categorical Imperative, the Formula of … , Kant thinks that the exposition 
of the Categorical Imperative in … that Kant's claim of uniqueness for the Categorical Imperative …",Counting the Formulas of the Categorical Imperative: One Plus Three Makes Four,https://www.jstor.org/stable/27744043
CJ Onof - 1998 - degruyter.com,,"… In fact Kant's derivation of the content of the Categorical Imperative from its form can be … 
categorical imperative under examination, and which we shall call the Categorical Imperative…",A Framework for the Derivation and Reconstruction of the Categorical Imperative,https://www.degruyter.com/document/doi/10.1515/kant.1998.89.4.410/html
G Heffernan,,"… plays a major role in Husserl’s ethics, and his critique of Kant’s categorical imperative 
represents a key part of his moral philosophy. Therefore it is prudent to begin with a brief analysis …",The Development of Husserl's Categorical Imperative: From Universal Ethical Legislation to Individual Existential Exhortation,https://link.springer.com/chapter/10.1007/978-3-031-05095-4_5
KA Moran,,"… tension between Immanuel Kant’s model of … , Kant’s account of moral knowledge and 
decision-making seems to be one that can be self-taught. Kant’s famous categorical imperative and …",Can Kant have an account of moral education?,https://academic.oup.com/jope/article-abstract/43/4/471/6842267
S Kharchenko,,"… of ""categorical imperative"" on the basis of correlation of universal imperatives and modern 
moral… Kant in terms of development of contemporary international legal institutions. The author …",Categorical imperative of I. Kant as a universal philosophical-legal paradigm,http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/Vnau_f_2019_1_17.pdf
M Timmons,,"… For instance, in section II, just after introducing FUL, Kant remarks that 'if all imperatives of 
duty can be derived from this single imperative ... we shall at least be able to show what we …",The Philosophical and Practical Significance of Kant's Universality Formulations of the Categorical Imperative,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jaret13&section=22
R McCarty,,"… Kantian ethics presents the categorical imperative as the supreme principle of morality, 
sufficient for distinguishing right from wrong, for grounding human rights, and for identifying …",False Negatives of the Categorical Imperative,https://academic.oup.com/mind/article-abstract/124/493/177/2606046
IM Obot,,"… Consequently, Kant (1952) then believes that morality presents itself to human … a categorical 
imperative and our all specific moral duties are derived from it. It is a categorical imperative …",Kant's Categorical Imperative as a Base for Philosophy of Social Studies Moral Education in Nigeria,https://core.ac.uk/download/pdf/234635554.pdf
FJ McDonald,,"… They contend that one might program machines with a version of Kantian ethics cast in … 
on the formula of humanity of the Kantian categorical imperative. On this principle, one ought …","AI, alignment, and the categorical imperative",https://link.springer.com/article/10.1007/s43681-022-00160-w
A Hills,,"… By contrast, in many passages, Kant makes it clear that our reasons to pursue happiness 
are entirely differ ent from categorical imperatives: it is hard to see how the formula of universal …",Kant on happiness and reason,https://www.jstor.org/stable/27745060
B Martin Jr - 2008 - books.google.com,,"… the relationship between the first and second formulations of the categorical imperative, and 
the third formulation. I argue that Kant captures what is a valid insight from certain religious …",Ethical Marxism: the categorical imperative of liberation,https://books.google.com/books?hl=en&lr=&id=UNQBAwAAQBAJ&oi=fnd&pg=PR9&dq=kant+categorical+imperative+&ots=797o9OXspz&sig=9Un65qr7G92vvfrLvVtO4GyuaJQ
"M Schönfeld, J Lee",,"… Their structure is articulated in Kant's Categorical Imperative. The Categorical Imperative is 
a … The moral essence, encapsulated in the Categorical Imperative, involves three formulas …",Metaphysics of sustainability: Kant's categorical imperative,https://www.academia.edu/download/51034850/Schonfeld_metaphysics_of_sustainability_2010.pdf
